District,Crop,Season,Area (hectares),Yield (quintals),Production (metric tons),Average_Price,Price_Volatility,Price_Trend,Cost_of_Cultivation,Disease_Risk,Disease_Count,Weather_Risk,Yield_Score,Price_Level_Score,Price_Trend_Score,Price_Score,Price_Stability_Score,Cost_Score,Disease_Score,Weather_Score,Risk_Adjusted_Score,Data_Coverage,Rank
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,2524.2067437682936,292.23551729868035,234.210612756137,,,,,60.836323531189876,52.752829594681906,84.04990495330533,65.27165973813128,54.278087428902744,,,50,58.54016792634551,66.66666666666666,8.0
Nagaur,Guava,Rabi,15202.584614063771,36.5428318255787,5555.454928658627,2500.4551225324476,277.585217086817,134.05041510232655,,,,,40.5164656572295,46.48969485911924,69.18983594956404,55.569751295297166,59.69852529563602,,,50,50.26379395694962,66.66666666666666,29.0
Jaipur,Fenugreek,Rabi,13366.851826424452,44.81839184994944,5990.808029569034,2534.2380211195027,248.1915778163013,35.142963296269144,,,,9.014809614544701,61.12486085225134,55.39800657003726,54.51562809803519,55.045055181236435,70.57382430240887,,,50,59.168399859561944,66.66666666666666,10.0
Jodhpur,Maize,Rabi,11547.019267733092,35.79943234551442,4133.767350675623,2520.3558881303966,305.29888583810265,-153.18910357623318,63029.7,46.25,2.0,,38.66519876679287,51.73738616587923,26.574114653586296,41.67207756096205,49.444795518554194,83.42798581112653,66.41604010025061,50,52.073236413367795,100.0,15.0
Bhilwara,Fennel,Kharif,13198.083930243583,28.218505095622184,3724.301986380279,2497.525620636629,198.78146915174207,13.04575819291319,,,,,19.786628102039728,45.71720590354815,51.237220104466275,47.9252115839154,88.85498032867972,,,50,47.14659518879329,66.66666666666666,36.0
Udaipur,Bajra,Kharif,13194.88016331181,50.42611943789738,6653.666030839041,2561.248476217832,284.2897288141333,94.36005013005138,37245.85,,,,75.08962770043152,62.52047277433954,63.301253697457774,62.83278514358683,57.217935224500515,100.0,,50,69.35739359722258,83.33333333333334,2.0
Jodhpur,Coriander,Rabi,14959.5083257862,34.296805639539244,5130.633495125584,2532.678328525161,334.92938127967636,58.81137928647677,,,,,34.9232495940316,54.98672665076675,58.027145677497124,56.202894261458894,38.48186252885909,,,50,44.324894173504724,66.66666666666666,34.0
Ajmer,Oilseeds,Kharif,17467.634736309567,30.276137502721703,5288.525111238265,2447.799582163897,314.04850300284903,-88.91766259816136,,,,,24.910692417531813,32.60480082904881,36.10961947761954,34.006728288477106,46.20754061501262,,,50,36.61353313910703,66.66666666666666,51.0
Hanumangarh,Maize,Kharif,15626.590785014268,37.04284337791913,5788.533549801177,2487.8483664724167,256.40323019502836,-81.69245905284988,63029.7,46.25,2.0,,41.761630412528504,43.165382341741214,37.18157246657533,40.77185839167486,67.53561000929432,83.42798581112653,66.41604010025061,50,55.380922664555285,100.0,14.0
Jaipur,Maize,Rabi,11015.441853304708,46.01450388713084,5068.700919773532,2454.2802540871708,247.47241633051053,-11.506915552902583,63029.7,46.25,2.0,9.014809614544701,64.10350513580015,34.313708234964515,47.59451137749035,39.62602949197485,70.83990554944843,83.42798581112653,66.41604010025061,50,61.23286989645632,100.0,5.0
Alwar,Cotton,Rabi,17215.39973998623,30.793381210797985,5301.2036688966855,2557.4958318309104,242.7009518956899,95.62610013976284,91569.22,46.875,2.0,,26.19876992730555,61.53092695864293,63.48908869526325,62.31419165329106,72.6052909769313,65.08482408843429,62.65664160401001,50,53.43171223269044,100.0,16.0
Nagaur,Opium,Kharif,14653.05515283528,29.40284776689259,4308.415499786967,2465.8775426422094,250.29402899518487,196.17957629610825,,,,,22.735963463512654,37.371831302276846,78.4075056837555,53.78610105486831,69.79594222366823,,,50,45.88080321386942,66.66666666666666,41.0
Bhilwara,Pomegranate,Kharif,10564.434028897718,26.515066022755143,2801.166657692642,2536.6277299521826,268.4667055561834,-58.06310506115809,,,,,15.54460152004355,56.02815590802223,40.687294690127786,49.89181142086446,63.07226675308865,,,50,41.10047023619611,66.66666666666666,43.0
Kota,Maize,Kharif,13618.083687120636,48.29236311582901,6576.494423601774,2523.370542458299,279.19989724667636,104.15186373847227,63029.7,46.25,2.0,,69.77599413296733,52.532329216263705,64.75399669618699,57.42099620823302,59.101112726979075,83.42798581112653,66.41604010025061,50,64.44916656562934,100.0,2.0
Alwar,Cumin,Kharif,16030.854868705384,28.046775038519435,4496.13780177734,2462.5931128552493,261.74395310097293,-32.59430841460316,,,,,19.35897355380192,36.50575036906538,44.46592217365354,39.68981909090064,65.55960567788343,,,50,40.14886407775083,66.66666666666666,36.0
Kota,Chilli,Kharif,15972.251908184386,26.22251059392608,4188.32544871221,2591.242070173165,191.57260944672294,95.95772471791432,,,,,14.816058934888797,70.4295716219794,63.53828951784648,67.67305878032623,91.5221731886193,,,50,51.28926995744045,66.66666666666666,18.0
Jaipur,Gram,Rabi,12969.233999082124,43.17482643027152,5599.444268439468,2570.7351489167622,394.21035954148107,228.37370378185764,46863.89,,,9.014809614544701,57.0319359507526,65.0220413500422,83.18392353395808,72.28679422360855,16.548601455678053,93.81821196798955,,50,58.63373871773334,83.33333333333334,12.0
Alwar,Coriander,Rabi,18092.99856748785,37.843198459273616,6846.969355127961,2460.2661253266865,357.49294060823,2.163949460238926,,,,,43.754732240601015,35.8921401959052,49.62276214171382,41.38438897422864,30.133612348037758,,,50,41.64747027626887,66.66666666666666,41.0
Nagaur,Tomato,Kharif,12482.347430332084,47.75325487001329,5960.727182167035,2447.7009755664544,398.67573607729423,32.876150679443946,,56.666666666666664,4.0,,68.43346797764406,32.57879896587217,54.1793169415716,41.21900615615194,14.89646493192653,,3.759398496240607,50,41.720679782416994,83.33333333333334,52.0
Jaipur,Fenugreek,Rabi,15993.790294210692,46.14422011500192,7380.209798092394,2534.2380211195027,248.1915778163013,35.142963296269144,,,,9.014809614544701,64.42653382259624,55.39800657003726,54.51562809803519,55.045055181236435,70.57382430240887,,,50,60.26895751634357,66.66666666666666,7.0
Hanumangarh,Cotton,Kharif,13562.47728646413,27.27288024225128,3698.8781882198937,2447.1388047829505,318.03204408467894,163.67429764067967,91569.22,46.875,2.0,,17.43176503209492,32.430558501504706,73.58492450759772,48.89230490394191,44.733677512456296,65.08482408843429,62.65664160401001,50,44.374841639346705,100.0,35.0
Alwar,Oilseeds,Kharif,11680.995077981916,22.08091117079624,2579.270147034268,2423.446061721447,252.31632608328425,126.79551962368693,,,,,4.50234996534698,26.182949524593656,68.11347777582981,42.955160825088115,69.04771621084961,,,50,36.76503611730908,66.66666666666666,38.0
Sri Ganganagar,Chilli,Rabi,17437.577467182593,42.80398745871082,7463.978472155822,2517.1989278254327,302.037566426736,68.93737802738141,,,,,56.10844605313452,50.904918034610326,59.52946939037287,54.35473857691534,50.651445141922935,,,50,53.32770133327352,66.66666666666666,20.0
Jodhpur,Fennel,Kharif,14783.969635258998,50.66217314913776,7489.880294930864,2474.2233424916312,285.57610170330025,162.74239573087576,,,,,75.67746564181158,39.57255976682815,73.44666472967407,53.122201751966514,56.74199246439698,,,50,60.74014084067432,66.66666666666666,7.0
Hanumangarh,Coriander,Rabi,16084.908075142905,26.96168324867614,4336.761966060761,2553.2448768416994,256.60488801339017,4.444493545754708,,,,,16.65679988070787,60.40998015724901,49.96111054028599,56.230432310463804,67.46099900071675,,,50,44.03924837650299,66.66666666666666,39.0
Kota,Garlic,Rabi,16084.186816525242,46.12170270813714,7418.30082653916,2401.2217066690127,353.46058510715034,61.81235784926508,,,,,64.3704593553614,20.322544092803255,58.47237990792385,35.582478418851494,31.62553620857976,,,50,47.270587938530156,66.66666666666666,28.0
Bhilwara,Wheat,Rabi,14892.521882670146,55.77334518506045,8306.057636382284,2517.4305519048835,281.46485919555346,-33.28082078288222,74052.11,40.666666666666664,3.0,,88.4056741154186,50.96599566814092,44.36406912819721,48.32522505216343,58.263103584718515,76.34356921253551,100.0,50,69.45746445887545,100.0,3.0
Sri Ganganagar,Maize,Rabi,7140.764687730767,33.57147848478196,2397.2602807904423,2523.743736224537,215.29733947567934,98.90388588126542,63029.7,46.25,2.0,,33.116987708805844,52.63073777613464,63.97539087356525,57.168599015106885,82.74430357726183,83.42798581112653,66.41604010025061,50,58.78041414850615,100.0,12.0
Nagaur,Mustard,Rabi,15261.141204714511,42.00305711815018,6410.145857097789,2485.796091347403,249.47450176130917,-13.083311199125362,,,,,54.11391167318334,42.62421188879522,47.36063256505994,44.51878015930111,70.09915761086705,,,50,53.92947678904815,66.66666666666666,20.0
Jodhpur,Garlic,Rabi,15275.282329606507,22.602897116642307,3452.656349237601,2479.202661347749,300.92990910451834,191.59580782646654,,,,,5.802236936931232,40.88557097467482,77.72744396910632,55.62232017244742,51.061265255223496,,,50,36.97895074267442,66.66666666666666,43.0
Bhilwara,Garlic,Rabi,14340.984336487463,32.75583478817339,4697.509136257658,2574.8737705489516,323.56940331748535,-332.3045959409121,,,,,31.085813070650026,66.11336663872594,0.0,39.66801998323556,42.68492006495336,,,50,39.477060365403496,66.66666666666666,42.0
Nagaur,Citrus,Rabi,19433.68213422455,45.72359128243136,8885.777390179717,2386.835587168326,274.4543611575065,-26.518223732402717,,,,,63.37905362953293,16.529026005763225,45.36738842237394,28.06437097240751,60.85690497312404,,,50,50.781564463777784,66.66666666666666,26.0
Ajmer,Opium,Kharif,12574.519191320436,33.21992189882513,4177.245454509426,2516.613879785925,343.3248243876888,-184.09369600434687,,,,,32.241516195642355,50.750644999442315,21.989016113729345,39.245993445157126,35.375647838881235,,,50,38.28789988503227,66.66666666666666,48.0
Udaipur,Tomato,Kharif,17746.206353106223,28.946433330018777,5136.89379060945,2505.4748374565497,311.62363600301023,251.41215324676295,,56.666666666666664,4.0,,21.59936738299252,47.81335822473061,86.6019773797681,63.328805886745606,47.10471273555898,,3.759398496240607,50,38.832058568300184,83.33333333333334,45.0
Ajmer,Mustard,Kharif,13410.719388698884,26.836015584563015,3598.902745153247,2559.9376341465254,337.6065445302241,93.49794357769974,,,,,16.343853218771777,62.1748129800832,63.17334896926622,62.57422737575641,37.491343778468924,,,50,39.632680462152756,66.66666666666666,45.0
Hanumangarh,Maize,Rabi,15291.23264804412,27.618796876361163,4223.254484955128,2487.8483664724167,256.40323019502836,-81.69245905284988,63029.7,46.25,2.0,,18.29319153124116,43.165382341741214,37.18157246657533,40.77185839167486,67.53561000929432,83.42798581112653,66.41604010025061,50,49.51381294423345,100.0,26.0
Jaipur,Maize,Rabi,12893.840718367945,46.07466529607336,5940.793954796851,2454.2802540871708,247.47241633051053,-11.506915552902583,63029.7,46.25,2.0,9.014809614544701,64.25332340638553,34.313708234964515,47.59451137749035,39.62602949197485,70.83990554944843,83.42798581112653,66.41604010025061,50,61.27032446410266,100.0,4.0
Udaipur,Mustard,Rabi,13823.675540603526,27.28425513246576,3771.6869031825313,2389.0634142342865,358.55290737834696,174.53150876857504,,,,,17.460091602399487,17.116488265416674,75.19573309551963,40.348186197457856,29.741437175165302,,,50,32.527834288488314,66.66666666666666,56.0
Bhilwara,Bajra,Rabi,15888.360831193728,44.208539829894185,7024.012326375586,2560.8717200636356,236.42500243619514,141.9375313439237,37245.85,,,,59.606163458628515,62.421124837929085,70.35999230244744,65.59667182373643,74.92731807589837,100.0,,50,68.6221921564324,83.33333333333334,6.0
Nagaur,Cumin,Kharif,15015.340369927382,30.345953160176048,4556.548155499168,2561.3516865774504,264.64972231186954,-113.19591514427711,,,,,25.084552392612935,62.54768861708045,32.50762470747631,50.531663053238795,64.48450542499049,,,50,44.733528696732755,66.66666666666666,43.0
Bhilwara,Citrus,Rabi,10753.887773848755,26.20733734260759,2818.307646337977,2521.2294029530503,280.30322522981425,-68.6014904709033,,,,,14.778273412381079,51.967725853998495,39.12378804731839,46.830150731326455,58.692894417951926,,,50,39.152710216071135,66.66666666666666,43.0
Alwar,Guava,Kharif,13971.856450419691,32.44731869968946,4533.4927907307965,2449.5066072578297,393.12308276116,-215.55321920132823,,,,,30.317524102075655,33.05493128768682,17.321586371350463,26.761593321152276,16.950881009437623,,,50,30.632442454886682,66.66666666666666,47.0
Jaipur,Fenugreek,Rabi,14516.142865001972,27.58667050119828,4004.5205016512978,2534.2380211195027,248.1915778163013,35.142963296269144,,,,9.014809614544701,18.213188119557785,55.39800657003726,54.51562809803519,55.045055181236435,70.57382430240887,,,50,44.86450894866408,66.66666666666666,29.0
Udaipur,Gram,Rabi,20000.0,30.30981477500791,6061.962955001583,2603.7957709132465,322.89173511630725,155.1937871808549,46863.89,,,,24.994557984855437,73.73989382627603,72.32673039884088,73.17462845530197,42.935649287264596,93.81821196798955,,50,54.32960486173597,83.33333333333334,16.0
Hanumangarh,Tomato,Rabi,15772.651172168293,35.28240779388867,5564.97110647198,2493.535664595839,339.36386319881217,340.1557451237091,,56.666666666666664,4.0,,37.377667016185754,44.66508268112473,99.76824431835081,66.70634733601517,36.84115664800871,,3.759398496240607,50,42.4562347859704,83.33333333333334,42.0
Sri Ganganagar,Tomato,Rabi,9243.686354102876,46.73789913397067,4320.3048044412135,2520.6183459732238,436.5769868409875,-83.09210130213346,,56.666666666666664,4.0,,65.90495604488339,51.80659444499875,36.97391732119718,45.87352359547812,0.873450258840407,,3.759398496240607,50,39.597530727960695,83.33333333333334,38.0
Jodhpur,Tomato,Rabi,15180.69062982308,32.734341778550174,4969.299155110628,2433.7833337732764,237.13365709591483,191.7071691895963,,56.666666666666664,4.0,,31.032289631155756,28.908815140918865,77.7439658768024,48.442875435272285,74.66512423028207,,3.759398496240607,50,42.967477622364434,83.33333333333334,37.0
Hanumangarh,Wheat,Rabi,14422.917105656632,49.61140168541649,7155.4113400419565,2391.2379693776215,367.04899655023235,310.2874179878692,74052.11,40.666666666666664,3.0,,73.06075891498605,17.68990309539315,95.33688922259725,48.74869754627479,26.59798463150082,76.34356921253551,100.0,50,60.95616231460692,100.0,7.0
Ajmer,Oilseeds,Kharif,14895.86469088427,32.80043774852141,4885.908825037476,2447.799582163897,314.04850300284903,-88.91766259816136,,,,,31.196886572746923,32.60480082904881,36.10961947761954,34.006728288477106,46.20754061501262,,,50,38.70893119084539,66.66666666666666,46.0
Ajmer,Pomegranate,Rabi,18428.46844354506,31.305250841725783,5769.07827254006,2485.493684389021,361.31989302273314,-44.82758420247788,,,,,27.473464523372133,42.54446931010925,42.6509564826119,42.587064179110314,28.717685201032168,,,50,36.2579089957599,66.66666666666666,38.0
Jaipur,Pomegranate,Kharif,17373.09584112914,43.78307342015787,7606.475307475964,2398.6335675262926,377.4853499041316,-208.32035645843317,,,,9.014809614544701,58.54663638272891,19.640070083796413,18.39467570195964,19.141912331061704,22.73665728038783,,,50,39.16738687193699,66.66666666666666,37.0
Bhilwara,Sugarcane,Kharif,19208.382932808297,36.468866083888464,7005.079448646346,2626.7664802046993,346.505037229815,106.38506022855107,,,,,40.33227084368741,79.7971075985588,65.08532046270135,73.91239274421582,34.199006687202086,,,50,49.993863017127104,66.66666666666666,28.0
Hanumangarh,Fenugreek,Kharif,16760.57128140081,35.193748638324294,5898.673327123371,2480.4399895615434,288.7220797396023,-97.27008198043795,,,,,37.15688160587552,41.211845684015934,34.870429347446155,38.67527914938802,55.57801778611195,,,50,43.81463853235104,66.66666666666666,38.0
Sri Ganganagar,Bajra,Rabi,12028.391024607936,37.24379173709968,4479.82890252897,2389.0132934877433,326.88810338919103,197.05452097240195,37245.85,,,,42.26204647954855,17.10327177861227,78.53731511473444,41.676889113061144,41.45704027567524,100.0,,50,52.91049498205628,83.33333333333334,21.0
Hanumangarh,Barley,Kharif,15298.954095262923,25.098489379472014,3839.806368769864,2560.6338826366573,321.0677540011331,66.57337261613232,69371.63,,,,12.016940406735872,62.3584087885473,59.17873841779833,61.08654064024771,43.6105007348063,79.3518469123646,,50,45.739883752010165,83.33333333333334,32.0
Nagaur,Onion,Rabi,10348.009706801602,26.603146513211968,2752.8961835018267,2527.523798232102,282.7244871643125,-140.60551481108678,192832.55,57.291666666666664,4.0,,15.763945896854306,53.627513424713555,28.441053834468242,43.55292958861543,57.797056128958594,0.0,0.0,50,28.821130811280444,100.0,53.0
Hanumangarh,Mustard,Rabi,11813.088858821686,27.97814235544664,3305.082817496538,2492.0835694630096,255.7136168317574,151.23803836729948,,,,,19.188059506668726,44.28217545237352,71.73984357445505,55.265242701206134,67.79075880035131,,,50,44.691569649281476,66.66666666666666,38.0
Jodhpur,Fenugreek,Rabi,12241.72729729859,40.5337888427336,4962.035893390289,2600.736397971686,276.76488909499176,118.47205023916065,,,,,50.45503406512738,72.93315879336765,66.87858275463489,70.51132837787455,60.00203695380874,,,50,57.62177297990409,66.66666666666666,7.0
Nagaur,Maize,Rabi,12650.240122991288,39.18068659697009,4956.450936353381,2510.0202578537096,311.64986800000037,-70.723960353319,63029.7,46.25,2.0,,47.08544146500769,49.0119534740613,38.808892014264686,44.93072889014265,47.095007206815595,83.42798581112653,66.41604010025061,50,54.477559106996836,100.0,19.0
Alwar,Fenugreek,Kharif,17440.55165210901,42.414254204837576,7397.279912451515,2359.135988491312,304.8512703955566,-195.70255046636964,,,,,55.13790425381112,9.224837507955517,20.26669145382503,13.641579086303322,49.61040794010352,,,50,41.93913742897196,66.66666666666666,32.0
Ajmer,Fenugreek,Kharif,15682.379803812388,35.014997234879225,5491.184854668166,2459.3967608095586,336.8618102587897,-5.9558410298217,,,,,36.71174199562408,35.662894914034844,48.4180855355906,40.76497116265715,37.76688665384755,,,50,40.661283639352774,66.66666666666666,42.0
Alwar,Pulses,Kharif,10177.550296316316,37.103246803215725,3776.201604963656,2421.2287700549305,199.14821140858956,118.42926079120296,,,,,41.91205136965762,25.59826537535014,66.87223438308435,42.10785297844382,88.71929002966881,,,50,52.94330259007132,66.66666666666666,16.0
Jodhpur,Wheat,Kharif,15779.64838274527,43.697629849172266,6895.332341792926,2618.2501495852725,309.97669689325267,25.493473045584977,74052.11,40.666666666666664,3.0,,58.33385865257414,77.5514113746072,53.084000621902305,67.76444707352525,47.71406073427814,76.34356921253551,100.0,50,64.24499856987063,100.0,2.0
Nagaur,Gram,Rabi,11289.147867365757,33.364911309035946,3766.614173492507,2625.0862951061263,277.5716463498944,-36.169327608807954,46863.89,,,,32.60257926036768,79.35405465709619,43.935521543862436,65.18664141180268,59.70354630784948,93.81821196798955,,50,57.4624853764759,83.33333333333334,10.0
Hanumangarh,Cotton,Rabi,16565.824696850694,49.76685546146387,8244.29003288117,2447.1388047829505,318.03204408467894,163.67429764067967,91569.22,46.875,2.0,,73.44788109667627,32.430558501504706,73.58492450759772,48.89230490394191,44.733677512456296,65.08482408843429,62.65664160401001,50,58.37887065549204,100.0,10.0
Jodhpur,Maize,Kharif,15751.47855103763,33.23763873269942,5235.419535852525,2520.3558881303966,305.29888583810265,-153.18910357623318,63029.7,46.25,2.0,,32.285635930501485,51.73738616587923,26.574114653586296,41.67207756096205,49.444795518554194,83.42798581112653,66.41604010025061,50,50.47834570429495,100.0,26.0
Bhilwara,Garlic,Kharif,12959.925835264528,41.22773944245385,5343.084455298122,2574.8737705489516,323.56940331748535,-332.3045959409121,,,,,52.18315979471446,66.11336663872594,0.0,39.66801998323556,42.68492006495336,,,50,46.509509273424975,66.66666666666666,37.0
Hanumangarh,Wheat,Kharif,15879.217419896044,44.84401932077153,7120.8793277655,2391.2379693776215,367.04899655023235,310.2874179878692,74052.11,40.666666666666664,3.0,,61.18868022459534,17.68990309539315,95.33688922259725,48.74869754627479,26.59798463150082,76.34356921253551,100.0,50,57.988142642009244,100.0,10.0
Jodhpur,Pulses,Kharif,20000.0,29.207033822911143,5841.406764582229,2535.5523445354847,295.1493256969267,244.31185747382054,,,,,22.248333486764054,55.744584370291875,85.54855608463868,67.6661730560306,53.20001277173835,,,50,46.10042653154385,66.66666666666666,35.0
Jodhpur,Garlic,Rabi,11426.089508392057,33.89711733345565,3873.11496728532,2479.202661347749,300.92990910451834,191.59580782646654,,,,,33.92791700719245,40.88557097467482,77.72744396910632,55.62232017244742,51.061265255223496,,,50,46.354177432761496,66.66666666666666,31.0
Nagaur,Bajra,Kharif,12075.954989318036,32.45826509228316,3919.6454828576425,2461.8406586861793,271.0896348560723,-143.9682952583953,37245.85,,,,30.34478359676442,36.30733352010903,27.942141585271667,32.96125674617409,62.101813923229976,100.0,,50,51.104132596567126,83.33333333333334,27.0
Sri Ganganagar,Chilli,Kharif,18475.78673702221,28.71109857752781,5304.601343040256,2517.1989278254327,302.037566426736,68.93737802738141,,,,,21.013319844436325,50.904918034610326,59.52946939037287,54.35473857691534,50.651445141922935,,,50,41.629325930374115,66.66666666666666,35.0
Jaipur,Mustard,Kharif,17890.128387732966,47.621502234356925,8519.547889893576,2367.260852629111,304.6430084906978,-143.19091570599858,,,,9.014809614544701,68.10536808161332,11.367306786068463,28.057475960216095,18.043374455727516,49.687462382604316,,,50,47.45084835858597,66.66666666666666,21.0
Jaipur,Wheat,Kharif,17466.18047998347,52.67659685965853,9200.589478221264,2503.988940727061,297.6413670220433,-33.230135454014736,74052.11,40.666666666666664,3.0,9.014809614544701,80.6939285511953,47.42153775371899,44.37158895645326,46.201558234812694,52.277986945046564,76.34356921253551,100.0,50,66.20702720839867,100.0,1.0
Sri Ganganagar,Oilseeds,Kharif,14263.835651991389,35.86811640583873,5116.169175593796,2452.816333633851,270.0852726939921,117.36664358031467,,,,,38.83624075725559,33.92768275273558,66.71458128885882,47.04244216718487,62.47341604854649,,,50,47.9847480400438,66.66666666666666,23.0
Alwar,Garlic,Rabi,12331.45671112343,25.529151646310343,3148.116283981815,2528.8189447079412,263.352924211253,296.478501081692,,,,,13.089406579955742,53.96903440132078,93.28815666316306,69.69668330605771,64.96430539007227,,,50,45.941778819615095,66.66666666666666,31.0
Kota,Garlic,Rabi,14768.694871757689,47.42956478220766,7004.727701686893,2401.2217066690127,353.46058510715034,61.81235784926508,,,,,67.62739162383053,20.322544092803255,58.47237990792385,35.582478418851494,31.62553620857976,,,50,48.35623202801986,66.66666666666666,26.0
Nagaur,Garlic,Rabi,15830.072397990058,38.70140686849243,6126.460726323047,2428.881188152318,438.93773865232663,237.26687922204516,,,,,45.89190458963696,27.616153970022683,84.5033418637854,50.37102912752776,0.0,,,50,38.72957596388639,66.66666666666666,45.0
Jaipur,Sugarcane,Kharif,15039.005675633722,54.37512298301047,8177.477831547761,2517.906082920902,248.36920773888392,-63.48268798653927,,,,9.014809614544701,84.92372055270602,51.09138983785629,39.88322902203654,46.608125511528385,70.50810333118591,,,50,64.83836098688009,66.66666666666666,2.0
Jaipur,Guava,Rabi,14206.029500286131,53.49043206198926,7598.866558556706,2589.723922730277,207.9948848107761,-6.728942680931382,,,,9.014809614544701,82.72059954673648,70.02924686566736,48.303385842983126,61.33890245659367,85.44612546577794,,,50,71.01979893049273,66.66666666666666,1.0
Jodhpur,Guava,Kharif,16877.00204329502,45.1162022682128,7614.2623786633885,2500.030002171362,311.7972935026563,5.607781593094496,,,,,61.866489790316194,46.37759362300269,50.13369946342735,47.88003595917255,47.04046151385626,,,50,52.79826515532267,66.66666666666666,21.0
Kota,Maize,Rabi,11787.322505816664,51.78881306758996,6104.514418211351,2523.370542458299,279.19989724667636,104.15186373847227,63029.7,46.25,2.0,,78.48310545513839,52.532329216263705,64.75399669618699,57.42099620823302,59.101112726979075,83.42798581112653,66.41604010025061,50,66.6259443961721,100.0,2.0
Kota,Citrus,Rabi,14329.611644022449,31.589176826438617,4526.606360772189,2495.9311253092324,282.7288893063056,103.41680843967605,,,,,28.18051744569599,45.296748749421845,64.64494167515527,53.036025919715215,57.795427388468035,,,50,45.095531538182996,66.66666666666666,35.0
Udaipur,Citrus,Rabi,16419.712873720633,31.439492533918592,5162.274403024268,2441.090367696757,320.9339084147643,103.0029107565951,,,,,27.80776284713642,30.835628368767786,64.58353456659174,44.33479084789737,43.660022019295816,,,50,39.823869579010605,66.66666666666666,47.0
Jodhpur,Pomegranate,Rabi,12459.618845794785,39.42611921192225,4912.344179494183,2537.0215916692996,270.7436360115873,-169.7636134372678,,,,,47.69663542744485,56.132014460539104,24.115070382433196,43.32523682929674,62.229829404917766,,,50,49.89824084461097,66.66666666666666,24.0
Ajmer,Bajra,Kharif,13660.455143798936,36.63107522975797,5003.971600452331,2458.255680619733,277.14934713415784,-14.4108413744142,37245.85,,,,40.73621573351737,35.362000128706555,47.16367618446727,40.08267055101084,59.85979202479504,100.0,,50,55.199507608111965,83.33333333333334,17.0
