Crop,State,Cost_of_Cultivation
Soyabean,Rajasthan,44919.2
Soyabean,Telangana,45117.13
Sunflower,Andhra Pradesh,57986.72
Sunflower,Bihar,59249.5
Sunflower,Karnataka,43473.86
Sesamum,Andhra Pradesh,31663.21
Sesamum,Gujarat,42070.49
Sesamum,Himachal Pradesh,40617.41
Sesamum,Kerala,29253.63
Sesamum,Madhya Pradesh,34995.12587
Sesamum,Odisha,21193.44
Sesamum,Rajasthan,27971.38
Sesamum,Telangana,53775.28
Sesamum,Uttar Pradesh,22608.9
Sesamum,West Bengal,60106.47
Nigerseed,Odisha,24649.39
R & M,Assam,36586.71
R & M,Bihar,44087.26
R & M,Gujarat,67370.09
R & M,Haryana,56058.26
R & M,Himachal Pradesh,31426.44
R & M,Jharkhand,49396.26
R & M,Madhya Pradesh,49080.8934
R & M,Odisha,27026.96
R & M,Punjab,64888.95
R & M,Rajasthan,58883.73
R & M,Uttar Pradesh,60080.31
R & M,West Bengal,62248.52
Safflower,Karnataka,22538.11
Cotton,Andhra Pradesh,90604.02
Cotton,Gujarat,87032.92
Cotton,Haryana,74197.96
Cotton,Karnataka,65859.43
Cotton,Madhya Pradesh,77922.21645
Cotton,Maharashtra,79371.74473
Cotton,Odisha,67926.31
Cotton,Punjab,99942.46
Cotton,Rajasthan,91569.22
Cotton,Tamil Nadu,116134.18594
Cotton,Telangana,96759.32
Jute,Assam,92298.27
Jute,Bihar,44643.31
Jute,West Bengal,114247.27
Sugarcane,Andhra Pradesh,148561.64
Sugarcane,Gujarat,128919.5
Sugarcane,Haryana,181887.67
Sugarcane,Karnataka,139080.59
Sugarcane,Maharashtra,260222.5128
Sugarcane,Tamil Nadu,248367.99
Sugarcane,Uttar Pradesh,149283.8
Onion,Andhra Pradesh,134080.21
Onion,Gujarat,176655.36
Onion,Karnataka,85806.57
Onion,Madhya Pradesh,140516.92
Onion,Maharashtra,213848.76
Onion,Rajasthan,192832.55
Onion,Tamil Nadu,217700.64
Potato,Assam,145117.29
Potato,Bihar,145508.94
Potato,Gujarat,199082.57
Potato,Himachal Pradesh,95074.07
Potato,Jharkhand,114391.84
Potato,Uttar Pradesh,144694.25
Potato,West Bengal,242649.64
