District,Crop,Season,Area (hectares),Yield (quintals),Production (metric tons),Average_Price,Price_Volatility,Price_Trend,Cost_of_Cultivation,Disease_Risk,Disease_Count,Weather_Risk,Data_Coverage,Yield_Score,Price_Score,Price_Trend_Score,Cost_Score,Disease_Score,Weather_Score,Risk_Adjusted_Score,Rank,State,Average_Temperature,Max_Temperature,Min_Temperature,Total_Rainfall,Average_Wind_Speed,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha)
Alwar,Chilli,Kharif,13119.0988266367,58.06610352743219,7617.749506541008,2570.32437740795,301.7631417217884,-469.2036061871677,69371.63,62.48062015503876,,50.4288,66.66666666666666,94.11526595779944,64.91372380490816,23.242080844490136,79.3518469123646,0.0,50,59.400650413959696,1,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Mustard,Kharif,12193.683893866217,50.54923232015932,6163.813599896282,2524.2067437682936,292.23551729868035,542.6388379584487,69371.63,62.48062015503876,,50.4288,66.66666666666666,75.39621226072478,52.75282959468191,69.96189745668346,79.3518469123646,0.0,50,59.29668063947479,2,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Mango,Kharif,15519.542777553546,48.40474252703931,7512.19472284852,2456.5885699146734,325.69308216421206,645.231638601131,69371.63,62.48062015503876,,50.4288,66.66666666666666,70.0558494311206,34.9223948124543,74.69891640611553,79.3518469123646,0.0,50,55.10605581804303,3,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Guava,Kharif,9922.606110855542,53.84565607943797,5342.892360568571,2449.5066072578297,393.12308276116,126.950894437216,69371.63,62.48062015503876,,50.4288,66.66666666666666,83.6052039617595,33.05493128768682,50.76833169792501,79.3518469123646,0.0,50,54.53031403952068,4,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Gram,Kharif,19540.349229726395,42.85005900274506,8373.051174280201,2526.732325476933,278.24338766668,61.9812204311379,46863.89,62.48062015503876,,50.4288,83.33333333333334,56.22317672802618,53.41880765023497,47.76848594873728,93.81821196798955,0.0,50,53.47756039956256,5,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Wheat,Rabi,16545.143058918144,47.24548435592912,7816.832975567265,2479.757253275183,391.04114161292586,-592.4214113562839,74052.11,48.91472868217054,129.0,50.4288,100.0,67.16898129736991,41.0318129482345,17.552743246363427,76.34356921253551,100.0,50,56.58305478282422,1,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Coriander,Rabi,17616.961910162034,45.206236530317696,7963.965470563824,2460.2661253266865,357.49294060823,768.0526196777232,69371.63,62.48062015503876,,50.4288,66.66666666666666,62.09069958990506,35.8921401959052,80.36993143936338,79.3518469123646,0.0,50,54.15936968941651,2,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Bajra,Rabi,19836.834773965937,51.88194115360741,10291.73494416734,2394.221269647179,242.1820867950497,52.81149680864473,37245.85,62.48062015503876,,50.4288,83.33333333333334,78.71501971770812,18.47657830208087,47.34509216000456,100.0,0.0,50,52.97583441384389,3,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Mustard,Rabi,18639.29309993755,39.85594422026318,7428.8662609624735,2524.2067437682936,292.23551729868035,542.6388379584487,69371.63,62.48062015503876,,50.4288,66.66666666666666,48.76701659929395,52.75282959468191,69.96189745668346,79.3518469123646,0.0,50,52.63938172411707,4,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Alwar,Citrus,Rabi,20000.0,43.75193164088732,8750.386328177463,2478.8542222968263,263.59636121257967,470.67638774030047,69371.63,62.48062015503876,,50.4288,66.66666666666666,58.4690848826016,40.79369005836211,66.63917414476029,79.3518469123646,0.0,50,52.17466239089156,5,Rajasthan,,,,,,7.553004016518466,2.0143002871384645,29.621343321009572,19.41136979530467,40.17626027320349
Bhilwara,Coriander,Kharif,20000.0,47.61759682900077,9523.519365800154,2703.3817006090985,235.11686265536576,395.32098503703855,69371.63,62.48062015503876,,50.4288,66.66666666666666,68.0956425601091,100.0,63.15978798597238,79.3518469123646,0.0,50,65.90065587477783,1,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Gram,Kharif,15512.596314383823,48.64782474446742,7546.540668338155,2540.6647921373474,303.3902739725327,84.61763568379138,46863.89,62.48062015503876,,50.4288,83.33333333333334,70.66119026447667,57.09270068795382,48.8136774955837,93.81821196798955,0.0,50,57.97862112324592,2,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Cotton,Kharif,13213.016117869523,48.05422646654527,6349.412688342149,2577.1034544330764,305.4366722745149,419.32109715827073,91569.22,62.48062015503876,,50.4288,83.33333333333334,69.182969109355,66.70131852821257,64.26794552913894,65.08482408843429,0.0,50,57.53892142561725,3,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Tomato,Kharif,20000.0,48.316041353267046,9663.20827065341,2585.2694299815,361.5020768571169,-1.7467805304822832,69371.63,62.48062015503876,129.0,50.4288,83.33333333333334,69.8349593840449,68.85462859489124,44.8259719879767,79.3518469123646,0.0,50,57.35633840004067,4,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Chilli,Kharif,14761.075826262855,46.16922812483588,6815.074771907301,2603.492182982168,277.12562521838623,33.47228392882835,69371.63,62.48062015503876,,50.4288,66.66666666666666,64.48881056860274,73.6598398334325,46.45214238862775,79.3518469123646,0.0,50,57.22476900398604,5,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Coriander,Rabi,18589.71450499348,44.62462847894668,8295.591033150198,2703.3817006090985,235.11686265536576,395.32098503703855,69371.63,62.48062015503876,,50.4288,66.66666666666666,60.64233735992151,100.0,63.15978798597238,79.3518469123646,0.0,50,64.03732957473092,1,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Wheat,Rabi,14892.521882670146,55.77334518506045,8306.057636382284,2517.4305519048835,281.46485919555346,-598.0050775258867,74052.11,48.91472868217054,129.0,50.4288,100.0,88.4056741154186,50.96599566814092,17.29492854311897,76.34356921253551,100.0,50,63.84039232583101,2,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Pulses,Rabi,15340.552035753744,50.82981179978978,7797.573728822447,2659.08827357726,281.0703717009987,84.8042669573988,69371.63,62.48062015503876,,50.4288,66.66666666666666,76.09493147523231,88.32013618583895,48.82229482422759,79.3518469123646,0.0,50,63.41388136646469,3,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Oilseeds,Rabi,16533.607798574943,56.07682480244123,9271.522278729632,2572.141974086649,262.7972748944641,97.19296451791432,69371.63,62.48062015503876,,50.4288,66.66666666666666,89.16142090115868,65.39301120935804,49.3943183457156,79.3518469123646,0.0,50,62.180882255873314,4,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Bhilwara,Chilli,Rabi,10955.44373368286,52.580820810192094,5760.462238569204,2603.492182982168,277.12562521838623,33.47228392882835,69371.63,62.48062015503876,,50.4288,66.66666666666666,80.45542013946127,73.6598398334325,46.45214238862775,79.3518469123646,0.0,50,61.21642139670067,5,Rajasthan,,,,,,7.493612983356732,2.0000566710930756,29.195423897585123,20.775882491960477,39.45394596534002
Hanumangarh,Chilli,Kharif,14923.337787025665,52.7704740553426,7875.116095093516,2572.77472190949,272.596436405743,124.28096574437996,69371.63,62.48062015503876,,50.4288,66.66666666666666,80.92770830057303,65.55986234043378,50.64505303965301,79.3518469123646,0.0,50,60.34343453603266,1,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Pomegranate,Kharif,14926.936223217052,55.19807683727814,8239.38172594285,2486.2285110710563,312.7758807034228,232.63656988619368,69371.63,62.48062015503876,,50.4288,66.66666666666666,86.9730994716033,42.73823791525728,55.64815800297912,79.3518469123646,0.0,50,58.04092318825384,2,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Pulses,Kharif,10248.29152954283,51.955821120539454,5324.58401500067,2463.7618975280384,244.56341874289987,640.7261613163928,69371.63,62.48062015503876,,50.4288,66.66666666666666,78.89900092877383,36.813950630843344,74.49088493470288,79.3518469123646,0.0,50,57.66395013542224,3,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Barley,Kharif,13909.163363358432,47.4544688131122,6600.519590429754,2560.6338826366573,321.0677540011331,151.9873171513941,69371.63,62.48062015503876,,50.4288,83.33333333333334,67.68940943402323,62.3584087885473,51.92433882591164,79.3518469123646,0.0,50,56.58546197695671,4,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Sugarcane,Kharif,13667.120219771665,42.63360023111571,5826.785397603434,2572.80017305104,215.28116223946355,174.57810632381145,69371.63,62.48062015503876,,50.4288,66.66666666666666,55.68413551558498,65.56657362667048,52.967423679059166,79.3518469123646,0.0,50,54.3822391929439,5,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Citrus,Rabi,15869.32457068924,56.917817779695255,9032.473242013308,2571.402333724482,212.84995453571568,154.50835140950448,69371.63,62.48062015503876,,50.4288,66.66666666666666,91.25572214245828,65.19797327076363,52.040742579177234,79.3518469123646,0.0,50,63.06241361349858,1,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Sugarcane,Rabi,20000.0,45.12633981682023,9025.267963364044,2572.80017305104,215.28116223946355,174.57810632381145,69371.63,62.48062015503876,,50.4288,66.66666666666666,61.89173504349487,65.56657362667048,52.967423679059166,79.3518469123646,0.0,50,55.934139074921376,2,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Fennel,Rabi,15086.234468804452,49.84460025134861,7519.673263956745,2513.331493876745,401.6855356183184,84.71779110631724,69371.63,62.48062015503876,,50.4288,66.66666666666666,73.64148676802424,49.88510302236328,48.81830197343616,79.3518469123646,0.0,50,55.11291462934882,3,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Maize,Rabi,13069.350503047614,54.85760983051002,7169.533306343659,2487.8483664724167,256.4032301950284,-356.34056635999013,63029.7,62.48062015503876,,50.4288,83.33333333333334,86.12524402669315,43.165382341741214,28.45330770449085,83.42798581112653,0.0,50,54.44658150236414,4,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Hanumangarh,Garlic,Rabi,18566.74011442393,48.88096445615971,9075.601635999108,2483.5412535473192,225.56342758154267,230.0939560888587,69371.63,62.48062015503876,,50.4288,66.66666666666666,71.24177155445088,42.02962708936052,55.53075785731966,79.3518469123646,0.0,50,53.94875902193746,5,Rajasthan,,,,,,7.5517734856597585,1.9048871617215626,30.435179928950376,19.834993307908174,40.27958921372077
Jaipur,Wheat,Kharif,17466.18047998347,52.67659685965853,9200.589478221264,2503.988940727061,297.6413670220433,63.706728796032166,74052.11,48.91472868217054,129.0,50.4288,100.0,80.6939285511953,47.42153775371899,47.84815787279729,76.34356921253551,100.0,50,65.78654875134254,1,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Gram,Kharif,17401.228575683046,37.97175049507164,6607.551097835475,2570.7351489167622,394.21035954148107,1193.1941975228017,46863.89,62.48062015503876,,50.4288,83.33333333333334,44.07486177250563,65.0220413500422,100.0,93.81821196798955,0.0,50,60.59585550833329,2,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Coriander,Kharif,15297.996916287677,49.26390136290309,7536.390111339918,2537.8802144321417,304.9340956843572,340.62331933386577,69371.63,62.48062015503876,,50.4288,66.66666666666666,72.19538860099352,56.35842721768534,60.63423183288465,79.3518469123646,0.0,50,57.81844440557283,3,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Sugarcane,Kharif,15039.005675633722,54.37512298301047,8177.477831547761,2517.906082920902,248.36920773888392,-290.93756910914453,69371.63,62.48062015503876,,50.4288,66.66666666666666,84.92372055270602,51.09138983785629,31.473161294470863,79.3518469123646,0.0,50,55.57295933677308,4,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Fennel,Kharif,16897.223217166564,51.409625561384445,8686.79918621665,2471.8541445468645,384.4118601479391,142.34263515128305,69371.63,62.48062015503876,,50.4288,66.66666666666666,77.5388254356732,38.94781900509448,51.47901477676229,79.3518469123646,0.0,50,54.29889941330623,5,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Gram,Rabi,12969.233999082124,43.17482643027152,5599.444268439468,2570.7351489167622,394.21035954148107,1193.1941975228017,46863.89,62.48062015503876,,50.4288,83.33333333333334,57.0319359507526,65.0220413500422,100.0,93.81821196798955,0.0,50,63.83512405289503,1,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Wheat,Rabi,13604.06862965984,47.16692410038034,6416.620725115308,2503.988940727061,297.6413670220433,63.706728796032166,74052.11,48.91472868217054,129.0,50.4288,100.0,66.97334489473332,47.42153775371899,47.84815787279729,76.34356921253551,100.0,50,62.35640283722705,2,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Guava,Rabi,14206.029500286131,53.49043206198926,7598.866558556706,2589.723922730277,207.9948848107761,-355.362236735491,69371.63,62.48062015503876,,50.4288,66.66666666666666,82.72059954673648,70.02924686566736,28.49848013317017,79.3518469123646,0.0,50,58.36354831664781,3,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Coriander,Rabi,19642.515603990185,49.51502657221639,9725.996820767492,2537.8802144321417,304.9340956843572,340.62331933386577,69371.63,62.48062015503876,,50.4288,66.66666666666666,72.82075867162565,56.35842721768534,60.63423183288465,79.3518469123646,0.0,50,57.97478692323087,4,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jaipur,Tomato,Rabi,18601.241723833275,46.47671246672123,8645.245631225771,2616.1152573329823,312.2919818627158,-181.65134308297135,69371.63,62.48062015503876,129.0,50.4288,83.33333333333334,65.25453020753875,76.98845536881579,36.5192358762629,79.3518469123646,0.0,50,56.59198604394197,5,Rajasthan,25.25535479632063,31.114892685063513,19.39581690757775,13452.3,14.655792816469559,7.455707247095107,2.064743725044735,29.634243320237616,19.837221089119392,39.83130978787359
Jodhpur,Wheat,Kharif,15779.64838274527,43.697629849172266,6895.332341792926,2618.2501495852725,309.97669689325267,717.474755400076,74052.11,48.91472868217054,129.0,50.4288,100.0,58.33385865257414,77.5514113746072,78.03459894035623,76.34356921253551,100.0,50,70.75047216099873,1,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Fenugreek,Kharif,12588.976296090808,55.2657753858966,6957.395363181311,2600.736397971686,276.76488909499176,279.5536229921245,69371.63,62.48062015503876,,50.4288,66.66666666666666,87.14168726988524,72.93315879336765,57.81445981189807,79.3518469123646,0.0,50,64.44699958478424,2,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Fennel,Kharif,14783.969635258998,50.66217314913776,7489.880294930864,2474.2233424916312,285.57610170330025,756.6690408259883,69371.63,62.48062015503876,,50.4288,66.66666666666666,75.67746564181158,39.57255976682815,79.84431727935197,79.3518469123646,0.0,50,58.213302992576,3,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Barley,Kharif,16539.317394528247,38.27437611755307,6330.320546857619,2574.566825514411,321.7539680917549,980.2597957886992,69371.63,62.48062015503876,,50.4288,83.33333333333334,44.82848187868218,66.03242740141448,90.1681766197854,79.3518469123646,0.0,50,57.34160947977594,4,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Garlic,Kharif,13531.681672445333,52.22042842953512,7066.302143071836,2479.202661347749,300.92990910451834,282.75867353464946,69371.63,62.48062015503876,,50.4288,66.66666666666666,79.55794509439102,40.88557097467482,57.96244665950064,79.3518469123646,0.0,50,56.1637445043125,5,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Wheat,Rabi,11999.006026183277,32.30014770483092,3875.6966695687615,2618.2501495852725,309.97669689325267,717.474755400076,74052.11,48.91472868217054,129.0,50.4288,100.0,29.95102829824394,77.5514113746072,78.03459894035623,76.34356921253551,100.0,50,63.65476457241618,1,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Fenugreek,Rabi,15671.742402193984,50.1254859610252,7855.537037659778,2600.736397971686,276.76488909499176,279.5536229921245,69371.63,62.48062015503876,,50.4288,66.66666666666666,74.34096857863311,72.93315879336765,57.81445981189807,79.3518469123646,0.0,50,61.2468199119712,2,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Pulses,Rabi,16012.807986225607,46.65248758343796,7470.373257533663,2535.5523445354847,295.1493256969267,228.2871390508376,69371.63,62.48062015503876,,50.4288,66.66666666666666,65.69225805436503,55.74458437029188,55.44733166665476,79.3518469123646,0.0,50,55.291858174502536,3,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Gram,Rabi,14637.155554176656,45.64916067597504,6681.738657318506,2462.656258273052,263.9373315917097,329.599415990795,46863.89,62.48062015503876,,50.4288,83.33333333333334,63.19370117629233,36.52240136967299,60.12522497562271,93.81821196798955,0.0,50,53.69442110954952,4,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Jodhpur,Chilli,Rabi,12072.380241068002,45.92592620303324,5544.352440462456,2471.029992041708,324.83249979008684,509.4270125260655,69371.63,62.48062015503876,,50.4288,66.66666666666666,63.88292261160029,38.7304958113978,68.42840733424913,79.3518469123646,0.0,50,53.3838679521717,5,Rajasthan,,,,,,7.454887962631355,1.9851756968422443,29.906863666803794,19.49591586736891,39.57612193569893
Kota,Chilli,Kharif,18372.33815995804,50.68352108724434,9311.747885522173,2591.242070173165,191.5726094467229,25.887978375256807,69371.63,62.48062015503876,,50.4288,66.66666666666666,75.73062781377381,70.4295716219794,46.101952132581616,79.3518469123646,0.0,50,59.33664113458127,1,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Maize,Kharif,13618.083687120636,48.29236311582901,6576.494423601774,2523.370542458299,279.1998972466764,293.5134578279053,63029.7,62.48062015503876,,50.4288,83.33333333333334,69.77599413296733,52.532329216263705,58.45902747876927,83.42798581112653,0.0,50,56.73351636997894,2,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Oilseeds,Kharif,13183.153380789408,54.45833758647163,7179.326172652643,2517.537884343757,305.0890342343076,-186.5958713178161,69371.63,62.48062015503876,,50.4288,66.66666666666666,85.13094754750446,50.9942984740624,36.29093209863197,79.3518469123646,0.0,50,56.328013433338086,3,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Barley,Kharif,15722.259538465703,51.21337483020996,8051.89970921288,2477.792885128488,276.3843557591727,316.2075967956216,69371.63,62.48062015503876,,50.4288,83.33333333333334,77.05010774001933,40.51382294448559,59.50688430359203,79.3518469123646,0.0,50,55.69410120629544,4,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Coriander,Kharif,13543.90935651269,35.43968220484045,4799.9184340597485,2594.5670765978966,288.6989506204264,495.5959668006472,69371.63,62.48062015503876,,50.4288,66.66666666666666,37.76932307395266,71.30635232793297,67.78978624893575,79.3518469123646,0.0,50,53.27484620826981,5,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Bajra,Rabi,18984.58242554717,47.646612790756166,9045.510478242408,2522.1941674671225,245.2480449251952,344.11772369724486,37245.85,62.48062015503876,,50.4288,83.33333333333334,68.16790019645734,52.22212744114591,60.79557901887246,100.0,0.0,50,59.10573739017438,1,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Maize,Rabi,11787.322505816664,51.78881306758996,6104.514418211351,2523.370542458299,279.1998972466764,293.5134578279053,63029.7,62.48062015503876,,50.4288,83.33333333333334,78.48310545513839,52.532329216263705,58.45902747876927,83.42798581112653,0.0,50,58.910294200521705,2,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
Kota,Wheat,Rabi,12502.933280687314,48.39546142759893,6050.852253173458,2466.2505423807247,308.9406393347606,-527.9103447782554,74052.11,48.91472868217054,129.0,50.4288,100.0,70.03273696929949,37.470188698408,20.53141370777841,76.34356921253551,100.0,50,57.03346942005357,3,Rajasthan,,,,,,7.460185240822904,1.9380072258867425,29.79471813236223,19.470072327665406,40.096340248717205
