State,Crop,Cost_of_Cultivation
Uttar Pradesh,R & M,60080.31
West Bengal,R & M,62248.52
Karnataka,Safflower,22538.11
Andhra Pradesh,Cotton,90604.02
Gujarat,Cotton,87032.92
Haryana,Cotton,74197.96
Karnataka,Cotton,65859.43
Madhya Pradesh,Cotton,77922.21645
Maharashtra,Cotton,79371.74473
Odisha,Cotton,67926.31
Punjab,Cotton,99942.46
Rajasthan,Cotton,91569.22
Tamil Nadu,Cotton,116134.18594
Telangana,Cotton,96759.32
Assam,Jute,92298.27
Bihar,Jute,44643.31
West Bengal,Jute,114247.27
Andhra Pradesh,Sugarcane,148561.64
Gujarat,Sugarcane,128919.5
Haryana,Sugarcane,181887.67
Karnataka,Sugarcane,139080.59
Maharashtra,Sugarcane,260222.5128
Tamil Nadu,Sugarcane,248367.99
Uttar Pradesh,Sugarcane,149283.8
Andhra Pradesh,Onion,134080.21
Gujarat,Onion,176655.36
Karnataka,Onion,85806.57
Madhya Pradesh,Onion,140516.92
Maharashtra,Onion,213848.76
Rajasthan,Onion,192832.55
Tamil Nadu,Onion,217700.64
Assam,Potato,145117.29
Bihar,Potato,145508.94
Gujarat,Potato,199082.57
Himachal Pradesh,Potato,95074.07
Jharkhand,Potato,114391.84
Uttar Pradesh,Potato,144694.25
West Bengal,Potato,242649.64
